,Country,drug,percentage_of_post,code,latitude,longitude,ISO3
111,PORTUGAL,MDMA,0.2,PT,38.7223,-9.1393,PRT
112,ROMANIA,MDMA,1.1,RO,44.4268,26.1025,ROU
113,SLOVENIA,MDMA,0,SI,46.0569,14.5058,SVN
114,SLOVAKIA,MDMA,0.2,SK,48.1486,17.1077,SVK
115,FINLAND,MDMA,0,FI,60.1695,24.9354,FIN
116,SWEDEN,MDMA,0,SE,59.3293,18.0686,SWE
117,TÜRKIYE,MDMA,0.8,TR,41.015137,28.97953,TUR
118,NORWAY,MDMA,0,NO,59.911491,10.757933,NOR
120,BELGIUM,Cannabis,30.6,BE,50.8503,4.3517,BEL
121,BULGARIA,Cannabis,10.9,BG,42.6977,23.3219,BGR
122,CZECHIA,Cannabis,14.7,CZ,50.088,14.4208,CZE
123,DENMARK,Cannabis,57,DK,55.6761,12.5683,DNK
124,GERMANY,Cannabis,58.2,DE,52.52,13.405,DEU
125,ESTONIA,Cannabis,5.6,EE,59.437,24.7536,EST
126,IRELAND,Cannabis,21.4,IE,53.3498,6.2603,IRL
127,GREECE,Cannabis,26.1,GR,37.9838,23.7275,GRC
128,SPAIN,Cannabis,27.5,ES,40.4168,-3.7038,ESP
129,FRANCE,Cannabis,56.6,FR,48.8566,2.3522,FRA
130,CROATIA,Cannabis,0,HR,45.815,15.9819,HRV
131,ITALY,Cannabis,21.7,IT,41.9028,12.4964,ITA
132,CYPRUS,Cannabis,44.2,CY,35.1667,33.3667,CYP
133,LATVIA,Cannabis,33.5,LV,56.9496,24.1052,LVA
134,LITHUANIA,Cannabis,7.5,LT,54.6872,25.2797,LTU
135,LUXEMBOURG,Cannabis,24.7,LU,49.6117,6.1319,LUX
136,HUNGARY,Cannabis,64.5,HU,47.4979,19.0402,HUN
137,MALTA,Cannabis,14.6,MT,35.9042,14.5189,MLT
138,NETHERLANDS,Cannabis,47.3,NL,52.3676,4.9041,NLD
139,AUSTRIA,Cannabis,29.7,AT,48.8566,2.3522,AUT
140,POLAND,Cannabis,31.2,PL,52.2297,21.0122,POL
141,PORTUGAL,Cannabis,36.7,PT,38.7223,-9.1393,PRT
142,ROMANIA,Cannabis,58.2,RO,44.4268,26.1025,ROU
143,SLOVENIA,Cannabis,3.3,SI,46.0569,14.5058,SVN
144,SLOVAKIA,Cannabis,19.3,SK,48.1486,17.1077,SVK
145,FINLAND,Cannabis,14.5,FI,60.1695,24.9354,FIN
146,TÜRKIYE,Cannabis,17.3,TR,41.015137,28.97953,TUR
147,NORWAY,Cannabis,27.8,NO,59.911491,10.757933,NOR
148,SWEDEN,Cannabis,10.1,SE,59.3293,18.0686,SWE
